 No.     RC (Å)     Elow (kcal/mol)  Ehigh (kcal/mol)
     1   -1.8510  -705695.902849  -705692.685768
     2   -1.9514  -705686.169043  -705674.981032
     3   -1.8635  -705783.044299  -705777.197207
     4   -1.8773  -705691.032363  -705686.142053
     5   -2.0500  -705435.895750  -705429.587938
     6   -1.9240  -705614.447100  -705603.052808
     7   -1.8955  -705759.700746  -705754.308028
     8   -1.9937  -705812.263462  -705805.667370
     9   -1.9433  -705772.491108  -705769.130666
    10   -2.0713  -705822.849921  -705819.173656
    11   -1.9906  -705674.499305  -705666.379075
    12   -2.0501  -705471.001549  -705472.056541
    13   -1.9075  -705834.387432  -705829.061351
    14   -1.9077  -705699.031144  -705692.786609
    15   -2.1329  -705521.454719  -705519.399104
    16   -1.9063  -705933.991779  -705927.595632
    17   -1.8036  -705695.252374  -705686.899526
    18   -1.8636  -705999.130071  -705995.017227
    19   -1.8719  -705678.973432  -705671.363435
    20   -1.9603  -705775.393386  -705771.469816
    21   -1.9183  -705958.690713  -705944.037066
    22   -1.8459  -705754.096446  -705747.114141
    23   -2.0716  -705484.102158  -705472.331254
    24   -2.0109  -706079.438789  -706074.053182
    25   -2.1109  -705441.602151  -705435.777794
    26   -1.9530  -705695.222738  -705687.931170
    27   -1.8808  -705528.898667  -705518.275269
    28   -2.0899  -705321.813224  -705308.859486
    29   -2.0340  -705983.089548  -705976.030503
    30   -2.0909  -705770.347487  -705762.719081
    31   -1.9435  -705922.460696  -705919.806558
    32   -2.0682  -705547.885988  -705544.263165
    33   -1.9979  -705804.989400  -705793.602312
    34   -2.0629  -705653.981693  -705649.964267
    35   -1.7947  -705495.355249  -705491.859955
    36   -1.8385  -705922.652160  -705917.227773
    37   -1.9032  -705529.316197  -705521.907935
    38   -2.0231  -705613.555972  -705608.190951
    39   -2.0013  -705506.941907  -705505.791513
    40   -2.1292  -705730.439169  -705721.081483
    41   -1.9489  -705690.804793  -705685.303986
    42   -1.8598  -705321.306464  -705313.478369
    43   -1.9817  -705294.733167  -705287.524079
    44   -1.9263  -705679.874075  -705673.212765
    45   -2.1209  -705751.356719  -705744.697914
    46   -2.0904  -705543.434410  -705539.047908
    47   -1.9546  -705596.881965  -705593.858504
    48   -2.0467  -705679.265792  -705664.952138
    49   -1.7391  -705487.899506  -705476.276859
    50   -2.0037  -705397.044030  -705386.109725
    51   -2.0535  -705708.715948  -705704.904701
    52   -1.8828  -705760.225941  -705754.709917
    53   -1.9238  -705664.806329  -705655.720883
    54   -1.8915  -705760.152669  -705750.845615
    55   -1.9630  -705692.805122  -705683.554880
    56   -1.9535  -705508.640986  -705502.097858
    57   -1.9458  -705434.628416  -705422.802039
    58   -2.1455  -705570.936450  -705564.193843
    59   -2.1241  -705742.546126  -705732.461733
    60   -1.9816  -705656.356019  -705654.382076
    61   -1.8828  -705955.272814  -705952.363773
    62   -2.0875  -705882.432270  -705871.971251
    63   -2.0386  -705635.345701  -705623.975815
    64   -1.9203  -705577.600669  -705569.898503
    65   -1.9173  -705647.044875  -705641.073536
    66   -2.1396  -705677.432282  -705671.679264
    67   -1.9417  -705829.653279  -705819.471871
    68   -2.0517  -705733.940819  -705727.085376
    69   -2.0302  -705716.084150  -705706.548055
    70   -1.8875  -705820.898458  -705814.674472
    71   -1.8055  -705990.406012  -705984.176813
    72   -1.8572  -705786.727684  -705782.042206
    73   -1.8803  -705660.359649  -705648.897147
    74   -1.8902  -705736.755683  -705730.596761
    75   -1.9853  -705425.566519  -705415.925361
    76   -1.9268  -705853.979398  -705846.759783
    77   -1.9873  -705538.144656  -705532.893255
    78   -1.9383  -706229.052265  -706219.062425
    79   -1.9318  -705680.347041  -705672.389623
    80   -1.9499  -705421.636362  -705415.299711
    81   -1.7171  -705450.555543  -705448.601772
    82   -1.9520  -705671.331839  -705666.381039
    83   -2.0574  -705371.506050  -705364.525329
    84   -1.8838  -706041.401906  -706031.322712
    85   -1.9021  -705673.048769  -705673.262842
    86   -1.7793  -705506.837063  -705500.005818
    87   -2.0065  -705744.204241  -705742.538307
    88   -2.0811  -705663.063139  -705653.892474
    89   -1.9777  -705546.949986  -705538.592612
    90   -2.0681  -705701.436345  -705697.258699
    91   -1.8372  -705648.594763  -705638.971727
    92   -1.7747  -705458.126604  -705455.037697
    93   -2.0187  -705594.439202  -705588.999904
    94   -1.9811  -705586.039286  -705577.892849
    95   -2.0351  -705697.342749  -705688.300475
    96   -1.9938  -705640.394920  -705634.581509
    97   -1.9409  -705574.303280  -705566.294679
    98   -2.0206  -705391.321259  -705382.149999
    99   -1.8481  -705582.120252  -705573.885679
   100   -2.0190  -705554.365315  -705547.767740
   101   -1.9329  -705678.127663  -705673.762625
   102   -1.8584  -705726.948426  -705720.905871
   103   -2.0880  -705637.752035  -705623.581836
   104   -1.9711  -705897.634260  -705889.927111
   105   -2.0844  -705716.115290  -705706.048852
   106   -1.9024  -705769.033843  -705764.984359
   107   -2.0450  -705918.982212  -705915.688628
   108   -1.9543  -705928.235476  -705925.520542
   109   -1.7403  -705929.126258  -705925.362406
   110   -1.9536  -705743.972909  -705733.637986
   111   -1.9796  -705656.268862  -705652.117808
   112   -2.0494  -705546.100766  -705535.577097
   113   -1.8747  -705750.378311  -705746.808678
   114   -1.9396  -705849.649015  -705845.579986
   115   -1.8776  -705594.010158  -705587.721102
   116   -1.7270  -705824.329755  -705819.002848
   117   -1.9170  -705707.916288  -705703.253876
   118   -1.8653  -705592.603461  -705584.074831
   119   -2.0066  -705796.829087  -705793.203597
   120   -2.1059  -705585.051366  -705580.576406
   121   -1.9415  -705534.121764  -705520.328087
   122   -1.9500  -705669.814038  -705662.053277
   123   -2.0504  -705562.778162  -705550.941376
   124   -1.9928  -705623.273660  -705616.937603
   125   -1.9251  -705709.193012  -705697.814512
   126   -1.8755  -705384.878403  -705380.396235
   127   -2.1538  -706029.941977  -706018.768575
   128   -1.9523  -705507.198934  -705498.784452
   129   -1.9083  -705529.908414  -705523.988553
   130   -1.8997  -705765.408564  -705758.543605
   131   -2.0548  -705504.513626  -705500.224688
   132   -1.8619  -705915.287581  -705911.412938
   133   -1.9644  -705418.493682  -705412.036250
   134   -2.2219  -705849.815843  -705842.955835
   135   -2.0992  -705754.335374  -705750.202176
   136   -1.8526  -705644.874548  -705639.469097
   137   -1.8323  -705440.860556  -705433.279984
   138   -1.8657  -705800.030920  -705791.894725
   139   -1.9569  -705474.027501  -705467.958266
   140   -1.9550  -705421.189761  -705412.769215
   141   -2.0411  -705742.610941  -705733.046963
   142   -2.0756  -705863.835149  -705853.249428
   143   -1.8446  -705566.464493  -705561.534130
   144   -1.8201  -705779.902859  -705768.335425
   145   -1.9365  -705652.283470  -705644.172651
   146   -1.9246  -705725.053649  -705722.133318
   147   -2.1533  -705665.340228  -705662.376232
   148   -2.0062  -705974.268481  -705964.453191
   149   -1.8039  -705725.467521  -705719.340491
   150   -1.9482  -705455.516985  -705443.964881
   151   -1.9777  -705846.513629  -705838.709240
   152   -1.9658  -705604.815466  -705597.827704
   153   -1.9763  -705691.838470  -705681.902482
   154   -2.0306  -705991.172905  -705984.711134
   155   -1.9710  -705854.063143  -705844.495665
   156   -2.0159  -705710.195710  -705703.811876
   157   -2.0236  -705850.877313  -705840.591268
   158   -1.9955  -705955.488611  -705945.247974
   159   -1.9239  -705892.654683  -705884.455110
   160   -1.9338  -706119.074476  -706107.943776
   161   -2.0183  -705744.389796  -705731.367012
   162   -1.9965  -705839.283620  -705827.779063
   163   -1.8540  -706056.305569  -706046.340657
   164   -2.0329  -706162.185265  -706153.781226
   165   -1.8708  -705615.694237  -705607.779399
   166   -1.9265  -705604.783106  -705597.128640
   167   -1.9233  -705994.307053  -705989.166849
   168   -1.9733  -706245.079477  -706239.460448
   169   -2.0957  -705850.505279  -705844.184202
   170   -1.9522  -705905.415304  -705896.761986
   171   -1.9384  -705899.733422  -705890.749697
   172   -1.9207  -706046.785944  -706040.835561
   173   -1.9578  -705710.871489  -705708.678565
   174   -2.0421  -705862.962506  -705857.717295
   175   -1.9212  -705988.777408  -705980.168030
   176   -2.0770  -705643.943379  -705639.094262
   177   -1.9905  -705598.846558  -705589.913181
   178   -1.9123  -705831.668513  -705827.966556
   179   -1.8736  -705857.513352  -705851.888789
