 No.     RC (Å)     Elow (kcal/mol)  Ehigh (kcal/mol)
     1    0.1972  -698863.819347  -698861.077215
     2    0.2781  -698730.786277  -698726.820482
     3    0.1520  -698926.596205  -698920.972671
     4    0.1379  -698721.345798  -698720.365585
     5    0.1332  -698974.185958  -698971.033369
     6    0.1102  -699065.088305  -699061.704667
     7    0.0655  -699068.381150  -699065.758149
     8    0.1581  -698936.110823  -698932.546123
     9    0.2452  -698906.954516  -698903.718812
    10    0.2393  -699001.713794  -698997.207638
    11    0.1034  -699036.798872  -699032.639280
    12    0.1810  -699010.157696  -699006.882800
    13    0.3054  -698804.529116  -698801.719201
    14    0.1666  -699055.645996  -699052.903761
    15    0.1677  -699145.809206  -699144.068794
    16    0.2303  -698782.833061  -698778.776412
    17    0.2864  -699116.945141  -699113.480916
    18    0.2189  -698901.044340  -698900.451093
    19    0.2028  -698818.894191  -698814.916817
    20    0.1706  -699272.312472  -699266.470248
    21    0.2406  -698688.803206  -698684.545726
    22    0.2375  -698664.479488  -698662.928147
    23    0.2428  -698615.645436  -698612.148418
    24    0.1290  -698635.919063  -698632.436085
    25    0.2909  -698710.269193  -698708.704808
    26    0.2887  -698890.729912  -698886.711659
    27    0.2262  -698718.954522  -698713.469983
    28    0.1377  -698539.956480  -698536.815919
    29    0.2171  -698554.775324  -698551.339085
    30    0.3870  -698962.690084  -698960.110505
    31    0.1921  -699199.362538  -699196.047158
    32    0.1943  -698689.886555  -698688.387610
    33    0.1909  -699055.473119  -699049.275850
    34    0.1988  -698810.703587  -698805.913471
    35    0.2704  -698780.759004  -698774.330182
    36    0.2630  -699129.446194  -699122.506641
    37    0.2315  -698987.342035  -698979.460800
    38    0.2558  -698748.087597  -698743.056303
    39    0.2275  -698682.271521  -698675.535216
    40    0.1584  -698543.384311  -698539.282705
    41    0.2602  -698689.475655  -698686.046422
    42    0.1897  -698775.167694  -698772.526496
    43    0.2180  -698334.945287  -698333.055902
    44    0.1990  -698845.467301  -698840.226709
    45    0.1746  -698730.971693  -698728.741415
    46    0.2110  -698449.195610  -698445.425209
    47    0.2823  -699022.399581  -699017.486811
    48    0.2099  -698731.404834  -698728.111236
    49    0.2515  -698726.718274  -698724.521793
    50    0.1954  -698669.562445  -698664.541200
    51    0.2805  -698629.491512  -698628.288307
    52    0.0801  -698792.642653  -698788.968731
    53    0.2231  -698625.413052  -698621.227004
    54    0.1665  -698699.670698  -698696.828817
    55    0.2801  -698693.075883  -698686.951336
    56    0.1912  -698723.609681  -698718.138643
    57    0.2432  -698578.058923  -698574.165498
    58    0.1964  -698446.312056  -698443.720315
    59    0.2544  -698660.866145  -698657.300018
    60    0.2386  -698752.486825  -698749.113893
    61    0.1252  -698732.731952  -698728.754856
    62    0.2812  -698356.088356  -698349.700388
    63    0.2574  -698775.995855  -698771.532011
    64    0.0816  -698842.152599  -698838.610959
    65    0.1182  -698668.551896  -698664.603232
    66    0.1693  -698287.601111  -698284.238153
    67    0.2295  -698612.434604  -698608.433960
    68    0.2085  -698485.463468  -698480.206312
    69    0.2242  -698539.734117  -698535.757671
    70    0.2197  -698742.641058  -698736.604792
    71    0.1529  -698660.539083  -698656.936666
    72    0.0601  -698679.363545  -698679.102327
    73    0.0886  -698510.671458  -698506.360348
    74    0.2969  -698827.588063  -698824.215321
    75    0.1748  -698888.012664  -698883.431149
    76    0.1438  -698919.983930  -698916.573294
    77    0.1759  -698573.895386  -698572.624713
    78    0.1524  -698652.144693  -698648.132975
    79    0.2371  -698610.724209  -698609.299770
    80    0.0654  -698609.574186  -698606.703585
    81    0.1276  -698603.696660  -698598.658697
    82    0.0959  -698713.498921  -698712.226771
    83    0.1969  -698594.974062  -698591.370353
    84    0.2054  -698650.180472  -698646.334738
    85    0.2090  -698422.908801  -698420.202393
    86    0.2060  -698779.033707  -698775.818924
    87    0.1303  -698658.618593  -698655.553324
    88    0.2134  -698669.077883  -698664.688981
    89    0.2283  -698569.446330  -698567.486522
    90    0.1376  -698771.609007  -698766.214147
    91    0.2355  -698681.467804  -698676.880787
    92    0.1257  -698458.432909  -698451.745380
    93    0.2601  -698536.912676  -698533.093276
    94    0.2303  -698680.634485  -698677.119323
    95    0.1983  -698940.283671  -698935.964823
    96    0.1825  -698819.546074  -698813.714849
    97    0.2089  -698843.252230  -698838.826125
    98    0.1644  -698594.545301  -698590.869026
    99    0.2103  -698399.574971  -698394.850493
   100    0.2096  -698913.924696  -698910.833699
   101    0.1663  -698830.213890  -698824.428148
   102    0.1595  -698616.277386  -698610.377608
   103    0.1913  -698723.142804  -698718.839449
   104    0.1972  -698702.559363  -698699.307227
   105    0.1788  -699003.883052  -698998.381125
   106    0.2031  -698982.514185  -698978.041151
   107    0.3763  -698856.465923  -698854.832208
   108    0.1912  -698771.110621  -698769.122693
   109    0.1706  -698753.068332  -698747.736239
   110    0.1384  -698632.890477  -698628.435757
   111    0.2073  -698669.480126  -698667.678423
   112    0.1762  -698782.521224  -698781.353443
   113    0.1854  -698882.421721  -698877.041220
   114    0.2825  -698778.156720  -698772.515095
   115    0.2717  -699053.258236  -699049.944772
   116    0.2397  -698632.788411  -698629.336416
   117    0.0545  -698531.282837  -698527.189107
   118    0.1036  -698646.353292  -698642.825885
   119    0.1402  -698729.217566  -698725.558001
   120    0.2345  -698670.191423  -698666.312296
   121    0.2147  -698582.119329  -698579.752422
   122    0.1766  -698607.990300  -698604.908876
   123    0.2335  -698737.741452  -698734.902287
   124    0.2949  -698556.821991  -698552.920222
   125    0.2472  -698544.306811  -698536.957133
   126    0.1547  -698996.405538  -698991.279392
   127    0.0993  -698564.840187  -698560.694700
   128    0.1744  -698973.257079  -698970.911363
   129    0.2713  -698685.636411  -698681.725816
   130    0.2005  -698564.366097  -698561.857075
   131    0.2253  -698637.408936  -698631.751106
   132    0.1723  -698823.422155  -698823.052092
   133    0.2111  -698784.795096  -698783.181322
   134    0.2462  -698575.126569  -698570.910801
   135    0.2088  -698586.183635  -698581.611598
   136    0.2600  -698605.260154  -698600.373362
   137    0.2934  -698915.828591  -698912.375463
   138    0.1276  -698691.103699  -698687.258590
   139    0.2330  -698576.932567  -698570.155616
   140    0.0723  -698297.502496  -698290.010487
   141    0.1390  -698657.038837  -698652.190041
   142    0.2202  -698824.347690  -698821.414006
   143    0.2163  -698663.038460  -698657.765637
   144    0.1885  -698520.622741  -698516.152241
   145    0.2323  -698699.895109  -698697.053232
   146    0.0627  -698370.303471  -698365.032111
   147    0.1659  -698811.901819  -698806.029732
   148    0.2188  -698510.953789  -698508.289177
   149    0.1792  -698604.214190  -698600.207496
   150    0.2102  -698424.271399  -698423.308310
   151    0.3275  -698272.232994  -698268.854152
   152    0.1908  -698474.733611  -698470.892846
   153    0.1104  -698659.578213  -698653.159922
   154    0.1759  -698467.655953  -698463.174289
   155    0.1184  -698601.781181  -698598.271784
   156    0.1174  -698664.132991  -698661.689728
   157    0.0910  -698749.684379  -698747.980559
   158    0.2570  -698561.729048  -698559.350009
   159    0.2243  -698597.330099  -698592.730489
   160    0.1257  -698906.542179  -698902.068831
   161    0.1808  -698689.331421  -698685.956722
   162    0.2500  -698762.619793  -698759.634628
   163    0.1871  -698685.838231  -698684.315020
   164    0.1673  -698525.478434  -698522.252029
   165    0.1925  -698670.547870  -698668.863425
   166    0.0589  -698631.881032  -698626.442461
   167    0.2400  -698692.408795  -698689.897913
   168    0.2121  -698199.409522  -698195.249938
   169    0.1528  -698673.148349  -698670.680082
   170    0.2009  -698425.913379  -698421.421568
   171    0.1752  -698551.966076  -698548.944041
   172    0.1764  -698683.529830  -698681.210294
   173    0.1742  -698417.581056  -698414.018385
   174    0.2112  -698732.422655  -698730.144050
   175    0.1924  -698631.978607  -698628.920502
   176    0.2525  -698601.924244  -698600.373578
   177    0.1502  -698499.595538  -698496.705099
   178    0.1270  -698751.841175  -698747.575498
   179    0.1571  -698739.920466  -698736.725851
   180    0.1881  -698907.156722  -698901.218815
   181    0.2375  -698663.913548  -698660.243061
   182    0.2088  -698622.119945  -698617.580520
   183    0.2490  -698763.220954  -698758.885960
   184    0.2212  -698933.294991  -698931.006617
   185    0.2245  -698921.654513  -698917.520995
   186    0.2352  -698815.591991  -698810.670473
   187    0.2170  -698802.510903  -698798.480362
   188    0.2166  -698748.850808  -698743.239085
   189    0.2293  -698689.208315  -698684.109051
   190    0.0427  -698635.800387  -698632.128838
   191    0.1449  -698949.551634  -698948.148967
   192    0.2196  -698672.753805  -698670.885204
   193    0.2472  -698891.139272  -698887.391923
   194    0.1890  -698474.804161  -698472.719275
   195    0.1433  -698740.145988  -698739.077422
   196    0.0393  -698533.238427  -698531.128868
   197    0.2146  -698743.798204  -698740.098799
   198    0.2779  -698777.415058  -698773.392427
   199    0.1456  -698732.464384  -698728.178304
   200    0.0246  -698851.268625  -698847.561854
   201    0.2125  -698391.181029  -698391.142410
   202    0.2425  -698913.687678  -698910.215797
   203    0.2705  -698598.379374  -698594.332740
   204    0.2356  -699135.407327  -699131.392139
   205    0.1235  -698810.936761  -698805.637401
   206    0.2097  -698549.543848  -698547.791141
   207    0.1820  -698413.531233  -698410.835256
   208    0.0601  -698476.843845  -698474.408737
   209    0.2755  -698535.393803  -698533.095125
   210    0.2034  -698808.336346  -698801.005205
   211    0.0621  -698730.820548  -698726.197164
   212    0.0553  -698651.004277  -698647.594050
   213    0.2487  -698806.106948  -698801.947424
   214    0.2301  -698477.114668  -698471.573042
   215    0.1093  -698815.488295  -698811.308142
   216    0.3237  -698351.143613  -698346.937273
   217    0.3019  -698713.772465  -698707.869748
   218    0.3181  -698508.553155  -698505.450648
   219    0.2432  -698234.574530  -698229.760921
   220    0.1661  -698581.684564  -698579.395340
   221    0.1128  -698717.904747  -698712.005515
   222    0.1512  -698781.259910  -698777.166805
   223    0.1177  -698788.738864  -698783.667914
   224    0.2591  -698791.181052  -698786.869320
   225    0.1811  -698913.981449  -698911.089141
   226    0.1149  -698657.229188  -698652.926593
   227    0.1400  -698602.118940  -698602.030217
   228    0.0828  -698549.781396  -698546.290937
   229    0.1995  -698565.672272  -698563.766996
   230    0.2178  -698656.275216  -698654.853437
   231    0.2162  -698690.588872  -698685.662949
   232    0.3059  -698665.760801  -698661.853566
   233    0.2064  -698431.382882  -698429.431022
   234    0.1793  -698639.581901  -698640.205327
   235    0.1154  -698383.330458  -698381.867383
   236    0.1353  -698989.394240  -698985.815091
   237    0.1893  -698731.121619  -698727.948152
   238    0.0711  -698636.501527  -698632.338995
   239    0.1069  -698816.813929  -698811.767431
   240    0.1676  -698590.063983  -698585.250576
   241    0.2480  -698496.335047  -698492.852310
   242    0.0997  -698419.170338  -698414.609801
   243    0.2471  -698307.243883  -698303.955522
   244    0.1640  -698480.164481  -698474.532433
   245    0.2609  -698743.780105  -698740.943082
   246    0.2030  -698604.081433  -698601.612271
   247    0.1958  -698724.916674  -698722.091151
   248    0.1881  -698410.806721  -698403.662189
   249    0.2057  -698713.470282  -698711.489438
   250    0.3258  -698428.185157  -698425.449487
   251    0.2524  -698522.617787  -698519.088400
   252    0.2375  -698489.696840  -698483.376480
   253    0.2296  -698672.079986  -698665.399229
   254    0.2990  -698236.209638  -698227.955221
   255    0.2070  -698634.158452  -698631.667271
   256    0.0497  -698724.300042  -698720.239666
   257    0.2267  -698724.029501  -698718.542815
   258    0.2359  -698390.376598  -698385.299282
   259    0.1987  -698626.498886  -698620.640792
   260    0.1317  -698999.853292  -698997.338093
   261    0.2481  -698648.854905  -698645.966790
   262    0.1954  -698912.752544  -698907.464384
   263    0.1084  -698676.800421  -698673.120498
   264    0.1393  -698507.587544  -698504.191259
   265    0.3165  -698668.709901  -698665.036362
   266    0.0839  -698547.247720  -698543.382397
   267    0.1428  -698356.611154  -698350.745744
   268    0.2395  -698615.408306  -698611.725830
   269    0.1643  -698450.058361  -698445.966092
   270    0.1669  -698550.148036  -698547.079334
   271    0.1372  -698438.652678  -698433.386079
   272    0.1583  -698736.462423  -698731.631898
   273    0.1852  -698306.450694  -698301.915170
   274    0.1914  -698581.308645  -698576.511916
   275    0.1184  -698401.963288  -698395.976718
   276    0.2860  -698541.946526  -698536.929318
   277    0.2521  -698391.611517  -698385.528238
   278    0.2071  -698402.816605  -698397.989702
   279    0.1817  -698198.694835  -698194.153940
   280    0.1658  -698348.183094  -698345.653585
   281    0.1918  -698348.493929  -698344.164952
   282    0.2046  -698611.344615  -698610.522845
   283    0.2340  -698401.992789  -698398.063353
   284    0.1602  -698537.489543  -698535.169629
   285    0.2202  -698169.928999  -698167.009065
   286    0.0473  -698730.693521  -698724.780693
   287    0.1888  -698284.490467  -698281.045755
   288    0.1279  -698440.531439  -698437.108269
   289    0.1826  -698312.717927  -698309.017875
   290    0.2244  -698205.063513  -698203.342896
   291    0.1876  -698569.846982  -698565.254481
   292    0.1849  -698574.269348  -698570.837077
   293    0.1666  -698553.336223  -698552.562758
   294    0.1272  -698406.654686  -698400.536453
   295    0.1714  -698633.905289  -698629.879256
   296    0.1997  -698650.180869  -698647.149418
   297    0.2013  -698692.118442  -698689.444339
   298    0.2681  -698664.477054  -698659.987854
   299    0.2970  -698776.771914  -698772.680291
   300    0.2364  -698453.733664  -698450.299001
   301    0.2823  -698672.149123  -698667.743570
   302    0.2034  -698509.627944  -698508.149403
   303    0.2102  -698242.162030  -698239.390708
   304    0.1856  -698344.770406  -698340.976649
   305    0.2198  -698753.720213  -698746.559057
   306    0.2417  -698158.187049  -698151.808562
   307    0.1007  -698653.212136  -698648.172284
   308    0.0970  -698547.027809  -698543.128057
   309    0.1905  -698495.133778  -698489.887574
   310    0.2247  -698342.512667  -698340.959716
   311    0.1256  -698513.622335  -698507.221400
   312    0.3250  -698285.701469  -698282.350022
   313    0.2837  -698358.276058  -698353.393749
   314    0.1808  -698555.592028  -698549.730483
   315    0.1797  -698375.160761  -698372.349069
   316    0.0592  -698369.735993  -698367.554886
   317    0.2452  -698585.751187  -698582.078223
   318    0.1494  -698564.728924  -698563.312186
   319    0.1860  -698367.569263  -698364.440290
   320    0.1764  -698627.898291  -698622.085262
   321    0.1808  -698200.638162  -698194.669924
   322    0.1550  -698491.203543  -698486.202157
   323    0.3081  -698597.391044  -698594.062233
   324    0.2475  -698222.130997  -698217.351467
   325    0.2651  -698874.008753  -698870.114906
   326    0.1538  -698489.964751  -698487.128131
   327    0.2402  -698687.138720  -698682.489581
   328    0.3233  -698218.893517  -698213.300728
   329    0.2277  -698826.397879  -698821.097230
   330    0.1753  -698244.398213  -698238.790185
   331    0.2407  -698527.740839  -698521.965409
   332    0.2845  -698452.583856  -698449.221248
   333    0.0258  -698281.967620  -698274.865801
   334    0.2106  -698529.890056  -698525.984956
   335    0.1436  -698787.515936  -698783.091775
   336    0.1446  -698535.645134  -698530.999520
   337    0.1136  -698482.008054  -698479.719262
   338    0.0912  -698314.079726  -698313.609730
   339    0.2458  -698673.203836  -698669.366587
   340    0.2417  -698481.792629  -698477.569243
   341    0.1005  -698314.156037  -698309.594133
   342    0.1212  -698528.256175  -698526.461004
   343    0.1719  -698499.588956  -698495.150540
   344    0.1834  -698459.361839  -698454.926855
   345    0.3581  -698706.115301  -698703.981057
   346    0.1787  -698377.625806  -698374.843488
   347    0.2263  -698765.826401  -698761.405783
   348    0.1962  -698733.515779  -698728.118518
   349    0.2054  -698713.638221  -698709.567092
   350    0.3471  -698639.137636  -698635.337042
   351    0.2139  -698701.953473  -698697.551581
   352    0.2953  -698594.795549  -698589.984526
   353    0.1015  -698308.010712  -698304.006236
   354    0.1336  -698390.398410  -698383.756002
   355    0.1120  -698422.069959  -698419.220562
   356    0.1537  -698719.972087  -698716.357157
   357    0.2982  -698589.464580  -698585.597671
   358    0.2925  -698369.865707  -698364.632351
   359    0.2673  -698432.805539  -698432.783154
   360    0.2429  -698502.256403  -698498.783012
   361    0.2242  -698541.234773  -698537.028746
   362    0.1803  -698620.550438  -698618.035685
   363    0.2611  -698522.212858  -698516.872215
   364    0.1714  -698351.204058  -698346.849380
   365    0.2494  -698444.387780  -698437.905839
   366    0.2008  -698513.959724  -698507.716386
